word,dataType
country name,STR
country code,STR
indicator name,STR
indicator code,STR
sales order id,INTEGER
revision number,INTEGER
order date,TIME
due date,TIME
ship date,TIME
status,INTEGER
id,INTEGER
district id,INTEGER
frequency,STR
date,TIME
uid,STR
data,STR
activity id,INTEGER
timestamp,INTEGER
priority,INTEGER
type,STR
user,STR
affecteduser,STR
app,STR
subject,STR
subjectparams,STR
message,STR
messageparams,STR
file,STR
link,STR
object type,STR
object id,INTEGER
mail id,INTEGER
amq timestamp,INTEGER
amq latest send,INTEGER
amq type,STR
amq affecteduser,STR
amq appid,STR
amq subject,STR
amq subjectparams,STR
uri,STR
synctoken,INTEGER
addressbookid,INTEGER
operation,INTEGER
principaluri,STR
displayname,STR
description,STR
appid,STR
configkey,STR
configvalue,STR
login name,STR
password,STR
name,STR
token,STR
remember,INTEGER
last activity,INTEGER
last check,INTEGER
scope,STR
expires,INTEGER
private key,STR
public key,STR
version,INTEGER
password invalid,INTEGER
action,STR
occurred,INTEGER
ip,STR
subnet,STR
metadata,STR
recurrenceid,STR
attendee,STR
organizer,STR
sequence,INTEGER
expiration,INTEGER
calendar id,INTEGER
is recurring,INTEGER
recurrence id,INTEGER
is recurrence exception,INTEGER
event hash,STR
alarm hash,STR
is relative,INTEGER
notification date,INTEGER
is repeat based,INTEGER
backend id,STR
resource id,STR
email,STR
group restrictions,STR
key,STR
value,STR
room id,INTEGER
calendarid,INTEGER
calendartype,INTEGER
lastmodified,INTEGER
etag,STR
size,INTEGER
componenttype,STR
firstoccurence,INTEGER
lastoccurence,INTEGER
classification,INTEGER
objectid,INTEGER
parameter,STR
calendarorder,INTEGER
calendarcolor,STR
timezone,STR
components,STR
transparent,INTEGER
refreshrate,STR
striptodos,INTEGER
stripalarms,INTEGER
stripattachments,INTEGER
source,STR
cardid,INTEGER
preferred,INTEGER
user id,STR
collection id,INTEGER
resource type,STR
access,INTEGER
parent id,INTEGER
topmost parent id,INTEGER
children count,INTEGER
actor type,STR
actor id,STR
verb,STR
creation timestamp,TIME
latest child timestamp,TIME
marker datetime,TIME
identifier,STR
credentials,STR
owner id,STR
proxy id,STR
permissions,INTEGER
resourceid,INTEGER
publicuri,STR
file id,INTEGER
share id,INTEGER
remote id,INTEGER
lock,INTEGER
ttl,INTEGER
fileid,INTEGER
storage,INTEGER
path,STR
path hash,STR
parent,INTEGER
mimetype,INTEGER
mimepart,INTEGER
mtime,INTEGER
storage mtime,INTEGER
encrypted,INTEGER
unencrypted size,INTEGER
checksum,STR
metadata etag,STR
creation time,INTEGER
upload time,INTEGER
auto id,INTEGER
location,STR
mime,STR
class,STR
operator,STR
hash,STR
checks,STR
gid,STR
argument,STR
last run,INTEGER
last checked,INTEGER
reserved at,INTEGER
execution duration,INTEGER
started,INTEGER
poll token,STR
login token,STR
client name,STR
server,STR
app password,STR
storage id,INTEGER
root id,INTEGER
mount point,STR
mount id,INTEGER
notification id,INTEGER
subject parameters,STR
message parameters,STR
icon,STR
actions,STR
deviceidentifier,STR
devicepublickey,STR
devicepublickeyhash,STR
pushtokenhash,STR
proxyserver,STR
apptype,STR
token id,INTEGER
client id,INTEGER
hashed code,STR
encrypted token,STR
redirect uri,STR
client identifier,STR
secret,STR
userid,STR
propertypath,STR
propertyname,STR
propertyvalue,STR
share type,INTEGER
share with,STR
uid owner,STR
uid initiator,STR
item type,STR
item source,STR
item target,STR
file source,INTEGER
file target,STR
stime,INTEGER
accepted,INTEGER
mail send,INTEGER
share name,STR
password by talk,INTEGER
note,STR
hide download,INTEGER
label,STR
remote,STR
share token,STR
owner,STR
mountpoint,STR
mountpoint hash,STR
numeric id,INTEGER
available,INTEGER
visibility,INTEGER
editable,INTEGER
systemtagid,INTEGER
objecttype,STR
current version,INTEGER
last saved version,INTEGER
last saved version time,INTEGER
last saved version etag,STR
base version etag,STR
guest name,STR
color,STR
document id,INTEGER
last contact,INTEGER
session id,INTEGER
url,STR
url hash,STR
shared secret,STR
sync token,STR
code,STR
used,INTEGER
provider id,STR
enabled,INTEGER
uid lower,STR
category,STR
objid,INTEGER
categoryid,INTEGER
arg,STR
cnt,INTEGER
movieid,INTEGER
editorid,INTEGER
addition,STR
series name,STR
country,STR
language,STR
content,STR
pixel aspect ratio par,STR
hight definition tv,STR
pay per view ppv,STR
package option,STR
episode,STR
air date,STR
rating,STR
share,FLOAT
18 49 rating share,STR
viewers m,STR
weekly rank,FLOAT
channel,STR
title,STR
directed by,STR
written by,STR
original air date,STR
production code,FLOAT
club id,INTEGER
region,STR
start year,STR
rank,FLOAT
gold,FLOAT
silver,FLOAT
bronze,FLOAT
total,FLOAT
player id,INTEGER
position,STR
apps,FLOAT
tries,FLOAT
goals,STR
points,FLOAT
competition id,INTEGER
year,FLOAT
competition type,STR
score,STR
city name,STR
zipcode,STR
contact,INTEGER
address,STR
state name,STR
state code,STR
member srl,INTEGER
ipaddress,STR
module srl,INTEGER
document srl,INTEGER
regdate,STR
user name,STR
nick name,STR
target member srl,INTEGER
list order,INTEGER
menu srl,INTEGER
